strat,tf,sharpe,p_rc,null_med,BH_10pct
bollinger_breakout,1h,1.6351497278975373,0.048,-0.35111318357670673,False
cci_100,1h,1.4077210978986567,0.056,-0.4602800334961518,False
donchian_55,1h,1.125113364843102,0.056,-0.36561065308186536,False
turtle_s1_20_10,4h,1.552793672429836,0.074,-0.18723322674524162,False
nbar_high_low_50,1h,1.2789254030022952,0.076,-0.24457909215712015,False
keltner_breakout,1h,1.531195440699099,0.08,0.005141941162799295,False
donchian_20,1h,1.4645796276966285,0.088,-0.4322601860793214,False
awesome_oscillator,1h,0.9087017099252512,0.096,-0.6946785247188783,False
turtle_s2_55_20,1h,0.9422659745301759,0.1,-0.33145984543046225,False
linreg_slope_50,1h,0.805990228725134,0.108,-0.568320013136085,False
triple_ema_4_9_18,1h,0.8985700720818681,0.128,-0.5599936843725384,False
aroon_25,1h,0.7930599997083557,0.128,-0.6189945269789743,False
volatility_breakout_lw,1h,-3.2324108073359605,0.152,-4.556855029552112,False
ema_cross_20_50,4h,1.376764682576689,0.158,0.015997747642706624,False
zscore_50_regime,1h,0.5556269549902884,0.16,-0.5225428215453165,False
tsi_25_13,1h,0.6160035145001151,0.16,-0.6303643130499372,False
volatility_breakout_lw,4h,0.8308406554005886,0.166,-0.524375734978793,False
supertrend_10_3,1h,0.8629521321182454,0.168,-0.44725435912039524,False
ema_cross_12_26,1h,0.5421544766681001,0.172,-0.5740829297596592,False
chandelier_22_3,1h,0.6637846380937391,0.172,-0.6866068944762522,False
macd_zero_cross,1h,0.5421544766681001,0.172,-0.5740829297596592,False
guppy_ribbon,4h,0.9994610382853208,0.174,-0.10887699883370056,False
tema_20_slope,4h,0.5992471392054498,0.192,-0.3425169405686168,False
guppy_ribbon,1h,0.2962692126767481,0.196,-0.6289799193406631,False
kalman_bq_trend,4h,0.6516748099562681,0.198,-0.41420719723751387,False
hull_ma_20,4h,0.578826493321514,0.2,-0.5493631491707744,False
ema_cross_20_50,1h,0.510827017760967,0.204,-0.41795182219731264,False
turtle_s1_20_10,1h,0.31032031051247594,0.224,-0.6617881624748968,False
dema_cross_10_30,4h,0.6381937544297349,0.23,-0.23278577858602403,False
donchian_20,4h,0.7977014851842804,0.232,-0.05395827442783022,False
nbar_high_low_50,4h,0.9967155281193315,0.236,0.1596598940263773,False
sma_cross_50_200,1h,0.7246075805681884,0.236,-0.17046675059901578,False
linreg_slope_50,4h,1.0962851216514373,0.24,0.24772678889962274,False
sma_cross_50_200,4h,0.9400843719129522,0.242,-0.05084518648529644,False
rsi_50_regime,4h,0.30702688905664643,0.266,-0.4895193838551918,False
kama_10,1h,-1.8339441377889825,0.272,-2.5203915276744873,False
tsmom_180,1h,0.11864887428671773,0.276,-0.8483408367303227,False
tsmom_90,4h,0.6249982261350638,0.276,-0.11898410787470876,False
psar_002,4h,0.5444059028084136,0.284,-0.06460094944118608,False
bollinger_breakout,4h,0.37314588023612,0.304,-0.20312006655598136,False
kama_10,4h,0.3914393366603383,0.306,-0.2198814753977722,False
triple_ema_4_9_18,4h,0.19266377689326278,0.306,-0.4006766473263573,False
turtle_s2_55_20,4h,0.5666949510723319,0.31,0.003926416342469088,False
ichimoku_kumo,4h,0.5323246356758463,0.324,-0.020347396836590287,False
keltner_breakout,4h,0.7455670188497892,0.346,0.20072144778927503,False
ichimoku_tk_cross,1h,-0.14169919546852386,0.348,-0.5864178700935754,False
elder_impulse,1h,-2.2820779804770144,0.356,-2.6514046583550623,False
price_vs_sma200,1h,-0.25996341811324114,0.356,-0.7625984664982,False
rsi_50_regime,1h,-1.377169951313576,0.4,-1.7375893739601849,False
ema_cross_12_26,4h,0.27667305464135955,0.404,-0.03281987203593565,False
macd_zero_cross,4h,0.27667305464135955,0.404,-0.03281987203593565,False
vortex_14,1h,-1.9191074528401775,0.42,-2.261140511375081,False
supertrend_10_3,4h,0.22578924805156095,0.428,0.013644902095600656,False
tsi_25_13,4h,0.16081577185368248,0.434,-0.0893925773936615,False
tema_20_slope,1h,-4.147685253237255,0.436,-4.35530044973423,False
adx_dmi_cross,4h,-0.09236555403532497,0.446,-0.28620795409205535,False
elder_impulse,4h,-0.347700426643537,0.448,-0.4901273969960901,False
alma_21_slope,4h,-0.07551214959354755,0.454,-0.17930822383798642,False
kalman_bq_trend,1h,-1.3793461082673275,0.464,-1.488832391151129,False
roc_14,1h,-1.9629852053595782,0.468,-2.0572958199283073,False
ichimoku_kumo,1h,-0.31571581929242953,0.472,-0.3416991436501784,False
psar_002,1h,-1.0474265105761906,0.476,-1.109471632412491,False
zscore_50_regime,4h,-0.0027403151372788074,0.486,-0.035164130721461684,False
dema_cross_10_30,1h,-0.8887912025575512,0.496,-0.9001761747504802,False
donchian_55,4h,0.003267558242218664,0.504,0.016921384054704454,False
cci_100,4h,-0.02658724567820878,0.504,-0.017823037358816213,False
atr_trailing_14_3,1h,-0.26368545397424425,0.504,-0.2442203036118652,False
roc_14,4h,-0.5203712524892877,0.526,-0.4585117243943545,False
awesome_oscillator,4h,-0.6661345320866778,0.53,-0.5306772480529116,False
price_vs_sma200,4h,-0.1944301659404786,0.542,-0.04001517293900614,False
vortex_14,4h,-0.4569909853462222,0.56,-0.276442309278088,False
macd_signal_cross,4h,-0.46232366322613744,0.604,-0.11515425680941191,False
atr_trailing_14_3,4h,-0.3174714029867342,0.628,0.11334364296301729,False
tsmom_90,1h,-1.4877394815843308,0.676,-0.9706314962904425,False
alma_21_slope,1h,-1.911327802947406,0.68,-1.4918670753036893,False
hull_ma_20,1h,-2.6612938898039302,0.7,-2.061608414911385,False
tsmom_180,4h,-0.8536301230569648,0.724,-0.08486316849641495,False
ichimoku_tk_cross,4h,-0.7322330990586277,0.728,0.06676888459932323,False
ema50_chop_filtered,1h,-2.7032760906887505,0.788,-1.6561351846748336,False
chandelier_22_3,4h,-1.4030932229776272,0.804,-0.2999887505438489,False
ema50_chop_filtered,4h,-1.1528728859443207,0.818,-0.1439107542607424,False
aroon_25,4h,-1.6980106691643573,0.866,-0.30958962976600535,False
macd_signal_cross,1h,-2.3680669135366017,0.884,-1.1192955369728546,False
adx_dmi_cross,1h,-2.3219852969563175,0.936,-0.4896640741278031,False
