regle,n,n_ep,n/j,brut_bps,net_bps,net_EP_bps,t_EP,win%,mois_pos,IS,OOS,eq_5pct
hold360 trail2.5 arm0.5,1057,896,2.9,46.9,27.8,30.1,1.03,29.1,7/12,20.8,38.8,1.143
hold360 trail2.5 arm1.5,1057,896,2.9,46.9,27.8,30.1,1.03,29.1,7/12,20.8,38.8,1.143
hold240 trail2.5 arm1.5,1062,898,2.91,27.8,8.8,9.8,0.41,30.5,7/12,2.5,16.5,1.039
hold240 trail2.5 arm0.5,1062,898,2.91,27.8,8.8,9.8,0.41,30.5,7/12,2.5,16.5,1.039
hold360 trail1.5 arm0.5,1066,899,2.92,24.0,4.9,8.6,0.4,33.5,6/12,22.1,-3.9,1.021
hold360 trail1.5 arm1.5,1066,899,2.92,25.1,6.1,8.5,0.37,37.7,6/12,26.3,-7.9,1.026
hold120 trail1.5 arm0.5,1068,900,2.93,21.6,2.6,5.2,0.3,35.2,6/12,-2.0,11.8,1.01
hold60 trail1.5 arm0.5,1069,901,2.93,22.3,3.3,4.6,0.29,37.0,4/12,-10.6,18.7,1.014
hold120 trail1.5 arm1.5,1068,900,2.93,23.1,4.1,3.7,0.2,39.0,6/12,-2.3,9.3,1.017
hold120 trail2.5 arm1.5,1066,900,2.92,25.4,6.4,3.2,0.15,33.0,7/12,-1.6,7.6,1.028
hold120 trail2.5 arm0.5,1066,900,2.92,25.4,6.4,3.2,0.15,33.0,7/12,-1.6,7.6,1.028
hold60 trail2.5 arm0.5,1069,901,2.93,21.7,2.7,0.6,0.03,35.8,6/12,-15.7,15.6,1.01
hold60 trail2.5 arm1.5,1069,901,2.93,21.7,2.7,0.6,0.03,35.8,6/12,-15.7,15.6,1.01
hold180 trail2.5 arm0.5,1064,900,2.92,19.8,0.8,0.4,0.02,31.0,6/12,-6.3,6.5,0.997
hold180 trail2.5 arm1.5,1064,900,2.92,19.8,0.8,0.4,0.02,31.0,6/12,-6.3,6.5,0.997
hold60 trail1.5 arm1.5,1069,901,2.93,19.1,0.1,-0.5,-0.03,40.0,4/12,-16.9,14.7,0.997
hold240 trail1.5 arm0.5,1067,900,2.92,16.7,-2.3,-0.6,-0.04,34.3,6/12,3.5,-4.5,0.984
hold180 trail1.5 arm0.5,1067,900,2.92,15.0,-4.0,-3.5,-0.2,34.0,5/12,-10.5,3.0,0.975
hold240 trail1.5 arm1.5,1067,900,2.92,14.4,-4.6,-4.7,-0.24,38.3,6/12,6.7,-15.2,0.971
hold180 trail1.5 arm1.5,1067,900,2.92,15.2,-3.8,-5.5,-0.29,38.2,6/12,-6.2,-4.8,0.975
