sortie,n,n_ep,n/j,brut_bps,net_bps,net_EP,t_EP,med_mois,mois_pos,sans_3_meilleurs_mois,eq_5pct,maxDD%
hold240 trail2.5 arm0.5,4106,2882,5.62,43.7,24.7,31.6,2.44,37.4,17/24,19.5,1.609,20.4
hold240 trail2.5 arm1.5,4106,2882,5.62,43.7,24.7,31.6,2.44,37.4,17/24,19.5,1.609,20.4
hold360 trail1.5 arm1.5,4153,2894,5.69,48.5,29.5,31.1,2.7,30.3,19/24,19.0,1.8,18.6
hold360 trail1.5 arm0.5,4215,2904,5.77,48.4,29.3,29.9,2.86,27.4,19/24,16.6,1.816,15.5
hold120 trail1.5 arm1.5,4239,2916,5.81,47.8,28.7,29.5,2.89,24.5,17/24,18.5,1.802,12.7
hold240 trail1.5 arm1.5,4184,2902,5.73,47.9,28.9,29.1,2.63,29.4,17/24,18.9,1.787,18.0
hold120 trail2.5 arm1.5,4200,2906,5.75,41.2,22.2,28.2,2.45,32.9,17/24,13.8,1.554,17.9
hold120 trail2.5 arm0.5,4200,2906,5.75,41.2,22.2,28.2,2.45,32.9,17/24,13.8,1.554,17.9
hold240 trail1.5 arm0.5,4228,2909,5.79,46.8,27.8,28.1,2.73,27.8,18/24,16.5,1.761,15.3
hold360 trail2.5 arm0.5,4036,2865,5.53,40.4,21.3,26.8,2.0,30.7,16/24,12.9,1.491,21.7
hold360 trail2.5 arm1.5,4036,2865,5.53,40.4,21.3,26.8,2.0,30.7,16/24,12.9,1.491,21.7
hold120 trail1.5 arm0.5,4262,2917,5.84,45.5,26.5,26.6,2.73,25.0,16/24,15.0,1.726,13.2
hold60 trail1.5 arm0.5,4320,2933,5.92,47.3,28.2,25.4,2.92,26.4,18/24,17.2,1.81,11.5
hold60 trail1.5 arm1.5,4314,2934,5.91,45.8,26.8,24.0,2.65,21.3,19/24,16.9,1.752,11.5
hold60 trail2.5 arm0.5,4302,2936,5.89,42.8,23.8,23.3,2.37,29.9,17/24,15.4,1.635,15.8
hold60 trail2.5 arm1.5,4302,2936,5.89,42.8,23.8,23.3,2.37,29.9,17/24,15.4,1.635,15.8
