n,n_ep,n/j,brut,net,net_EP,t_EP,win%,mois_pos,sans_top3,2024-25,2025-26,eq,maxDD%,sortie
3649,2643,5.0,41.1,22.0,26.8,1.92,30.4,19/24,12.7,16.4,35.8,1.453,20.0,hold240 trail2.5 arm0.5
3649,2643,5.0,41.1,22.0,26.8,1.92,30.4,19/24,12.7,16.4,35.8,1.453,20.0,hold240 trail2.5 arm1.5
3728,2663,5.11,44.3,25.3,24.5,2.19,35.2,18/24,12.1,14.5,33.4,1.57,15.4,hold360 trail1.5 arm0.5
3722,2662,5.1,35.5,16.5,22.9,1.85,33.1,17/24,9.1,10.9,33.4,1.329,18.1,hold120 trail2.5 arm0.5
3722,2662,5.1,35.5,16.5,22.9,1.85,33.1,17/24,9.1,10.9,33.4,1.329,18.1,hold120 trail2.5 arm1.5
3686,2656,5.05,41.9,22.8,22.3,1.85,40.0,17/24,11.1,20.2,24.2,1.489,19.2,hold360 trail1.5 arm1.5
3755,2675,5.14,38.7,19.6,22.0,2.03,40.5,17/24,11.3,12.9,30.0,1.42,13.5,hold120 trail1.5 arm1.5
3594,2626,4.92,35.5,16.4,21.8,1.52,29.5,17/24,4.6,18.9,24.4,1.305,21.3,hold360 trail2.5 arm0.5
3594,2626,4.92,35.5,16.4,21.8,1.52,29.5,17/24,4.6,18.9,24.4,1.305,21.3,hold360 trail2.5 arm1.5
3739,2667,5.12,41.3,22.2,21.3,1.95,35.5,18/24,10.5,10.3,30.9,1.486,15.1,hold240 trail1.5 arm0.5
3712,2663,5.08,40.3,21.2,19.9,1.7,40.1,17/24,11.6,17.4,22.1,1.452,18.6,hold240 trail1.5 arm1.5
3768,2674,5.16,37.2,18.1,19.1,1.86,36.5,17/24,7.7,5.6,30.9,1.384,13.6,hold120 trail1.5 arm0.5
3811,2687,5.22,40.3,21.2,18.0,1.95,38.5,15/24,9.1,13.1,22.4,1.477,10.6,hold60 trail1.5 arm0.5
3807,2688,5.22,38.1,19.0,16.0,1.67,41.3,16/24,7.7,13.6,18.1,1.414,10.6,hold60 trail1.5 arm1.5
3799,2688,5.2,34.9,15.9,14.7,1.39,36.1,15/24,5.8,11.2,17.7,1.328,13.7,hold60 trail2.5 arm0.5
3799,2688,5.2,34.9,15.9,14.7,1.39,36.1,15/24,5.8,11.2,17.7,1.328,13.7,hold60 trail2.5 arm1.5
