variante,n,n/j,brut_bps,net_bps,t,win%,hold_med,mois_pos,equity,maxDD%,sortie_dominante
sigmax4.0 hold240 trail2.0 arm0.5,8819,24.2,19.5,0.5,0.0,34.0,76,7/12,0.157,97.6,trail
sigmax8.0 hold240 trail1.0 arm1.5,6425,17.6,18.4,-0.6,-0.0,42.2,241,6/12,0.124,98.7,time
sigmax8.0 hold120 trail1.0 arm0.5,9434,25.8,17.6,-1.4,-0.2,41.8,121,6/12,0.114,98.6,time
sigmax8.0 hold240 trail1.0 arm0.5,7188,19.7,17.1,-1.9,-0.2,41.1,175,5/12,0.107,97.1,time
sigmax8.0 hold120 trail1.0 arm1.5,8984,24.6,16.7,-2.3,-0.3,42.7,121,5/12,0.078,99.2,time
sigmax4.0 hold240 trail2.0 arm1.5,8747,24.0,15.5,-3.5,-0.4,34.4,79,6/12,0.066,98.9,stop
sigmax8.0 hold120 trail2.0 arm0.5,8801,24.1,15.1,-3.9,-0.4,41.5,121,5/12,0.05,99.6,time
sigmax4.0 hold120 trail2.0 arm1.5,10616,29.1,14.9,-4.1,-0.6,37.0,77,6/12,0.053,99.3,stop
sigmax4.0 hold120 trail2.0 arm0.5,10671,29.2,14.6,-4.4,-0.6,36.6,74,5/12,0.048,99.3,time
sigmax8.0 hold120 trail2.0 arm1.5,8792,24.1,13.7,-5.3,-0.6,41.5,121,5/12,0.036,99.7,time
burstx1.0 hold240 trail2.0 arm0.5,9315,25.5,11.0,-8.0,-1.0,32.9,63,5/12,0.027,98.9,trail
burstx1.0 hold120 trail2.0 arm0.5,10978,30.1,10.8,-8.2,-1.2,35.6,62,5/12,0.02,99.5,trail
sigmax8.0 hold60 trail1.0 arm0.5,12186,33.4,10.5,-8.5,-1.4,42.1,61,5/12,0.014,99.6,time
burstx1.0 hold240 trail2.0 arm1.5,9208,25.2,10.1,-9.0,-1.1,33.5,65,5/12,0.022,99.2,stop
burstx1.0 hold120 trail2.0 arm1.5,10920,29.9,9.6,-9.4,-1.4,35.9,64,5/12,0.014,99.7,stop
sigmax4.0 hold240 trail1.0 arm1.5,9753,26.7,9.5,-9.5,-1.3,41.1,55,4/12,0.021,99.3,stop
sigmax8.0 hold240 trail2.0 arm0.5,6160,16.9,9.4,-9.6,-0.7,39.9,241,5/12,0.027,99.9,time
sigmax4.0 hold60 trail2.0 arm0.5,12802,35.1,8.9,-10.1,-1.8,39.0,61,5/12,0.008,99.8,time
sigmax4.0 hold120 trail1.0 arm1.5,11244,30.8,8.8,-10.2,-1.6,41.8,55,5/12,0.013,99.7,stop
sigmax4.0 hold60 trail2.0 arm1.5,12782,35.0,8.5,-10.5,-1.9,39.2,61,5/12,0.007,99.8,time
sigmax8.0 hold240 trail2.0 arm1.5,6138,16.8,8.0,-11.0,-0.8,40.0,241,5/12,0.022,99.8,time
sigmax4.0 hold60 trail1.0 arm1.5,13024,35.7,7.7,-11.3,-2.2,42.1,55,4/12,0.006,99.7,time
burstx1.0 hold60 trail1.0 arm1.5,13133,36.0,7.6,-11.4,-2.3,41.8,45,6/12,0.007,99.8,time
sigmax8.0 hold60 trail1.0 arm1.5,12014,32.9,7.3,-11.7,-1.8,42.5,61,5/12,0.005,99.8,time
burstx1.0 hold240 trail1.0 arm0.5,12258,33.6,6.9,-12.1,-2.5,39.3,25,4/12,0.008,99.6,trail
burstx1.0 hold120 trail1.0 arm1.5,11609,31.8,6.8,-12.2,-2.1,41.3,46,3/12,0.007,99.8,stop
burstx1.0 hold120 trail1.0 arm0.5,12940,35.5,6.4,-12.6,-2.7,39.3,25,4/12,0.006,99.8,trail
burstx1.0 hold60 trail1.0 arm0.5,13711,37.6,6.2,-12.8,-3.0,39.4,25,4/12,0.004,99.8,trail
burstx1.0 hold60 trail2.0 arm0.5,12890,35.3,6.1,-12.9,-2.4,37.9,61,6/12,0.003,99.9,time
