symbol,n_days,first,last,qv_median_musd,qv_p25_musd,px_last,range_median_pct
BTCUSDT,365,2025-09-01,2026-08-31,12034.417664,8138.975744,78549.6015625,3.013343334197998
ETHUSDT,365,2025-09-01,2026-08-31,10149.863424,7038.966272,2466.530029296875,4.175538063049316
SOLUSDT,365,2025-09-01,2026-08-31,2216.76928,1468.682752,103.0,4.759139060974121
XAUUSDT,264,2025-12-11,2026-08-31,935.299008,159.671632,4456.9599609375,1.815600872039795
SKHYNIXUSDT,91,2026-06-02,2026-08-31,864.650432,144.901568,1223.8299560546875,8.263005256652832
XAGUSDT,237,2026-01-07,2026-08-31,832.676352,206.826656,66.68000030517578,3.979628801345825
XRPUSDT,365,2025-09-01,2026-08-31,816.800832,532.30016,1.3791999816894531,4.133044242858887
SPCXUSDT,103,2026-05-21,2026-08-31,743.34912,87.388368,143.4499969482422,5.668875217437744
SKHYUSDT,53,2026-07-10,2026-08-31,674.154944,101.732488,164.24000549316406,6.467916011810303
ZECUSDT,365,2025-09-01,2026-08-31,630.048512,363.368416,847.7100219726562,8.999140739440918
KORUUSDT,71,2026-06-22,2026-08-31,615.971776,94.669932,20.899999618530273,14.936186790466309
SOXLUSDT,109,2026-05-15,2026-08-31,595.650816,89.736776,113.05000305175781,11.506917953491211
CLUSDT,153,2026-04-01,2026-08-31,587.640832,293.542016,86.38999938964844,4.109396934509277
DOGEUSDT,365,2025-09-01,2026-08-31,556.565056,357.515776,0.08280999958515167,4.981211185455322
HYPEUSDT,365,2025-09-01,2026-08-31,416.116992,291.360672,84.16899871826172,6.841307640075684
BNBUSDT,365,2025-09-01,2026-08-31,391.993152,265.410224,691.6699829101562,3.2254035472869873
SNDKUSDT,147,2026-04-07,2026-08-31,318.002528,47.037262,1550.3399658203125,8.350874900817871
1000PEPEUSDT,365,2025-09-01,2026-08-31,288.781152,189.161696,0.0035558000672608614,6.1151299476623535
BZUSDT,153,2026-04-01,2026-08-31,238.606032,103.571208,90.87999725341797,3.7533211708068848
MUUSDT,147,2026-04-07,2026-08-31,235.337696,41.33904,956.6699829101562,6.351049900054932
SUIUSDT,365,2025-09-01,2026-08-31,234.720176,140.235136,0.7265999913215637,5.855678558349609
ADAUSDT,365,2025-09-01,2026-08-31,209.809584,153.147936,0.19779999554157257,5.431504726409912
SNXXUSDT,54,2026-07-09,2026-08-31,161.604656,38.038297,13.970000267028809,16.133691787719727
AVAXUSDT,365,2025-09-01,2026-08-31,143.088416,94.127904,7.229000091552734,5.236209392547607
LINKUSDT,365,2025-09-01,2026-08-31,140.95288,100.24412,11.315999984741211,4.875726222991943
ENAUSDT,365,2025-09-01,2026-08-31,131.541344,83.14552,0.1494700014591217,7.69810676574707
SOXSUSDT,47,2026-07-16,2026-08-31,124.434176,21.244377,49.029998779296875,11.255409240722656
TAOUSDT,365,2025-09-01,2026-08-31,117.756064,76.842016,230.27999877929688,6.807602405548096
BCHUSDT,365,2025-09-01,2026-08-31,116.05972,70.214376,246.99000549316406,4.506860733032227
NEARUSDT,365,2025-09-01,2026-08-31,113.0012,77.905968,1.9199999570846558,6.332706451416016
DRAMUSDT,106,2026-05-18,2026-08-31,108.766512,24.770201,56.84000015258789,7.011617660522461
PUMPUSDT,365,2025-09-01,2026-08-31,108.48368,60.390428,0.00445100013166666,9.885931015014648
WLDUSDT,365,2025-09-01,2026-08-31,107.030552,68.371632,0.3646000027656555,7.77053165435791
PAXGUSDT,365,2025-09-01,2026-08-31,102.712968,59.801384,4449.740234375,1.6886248588562012
MRVLUSDT,109,2026-05-15,2026-08-31,102.701552,10.406575,211.80999755859375,7.861223220825195
ASTERUSDT,347,2025-09-19,2026-08-31,100.786944,40.238124,0.7006999850273132,5.727463722229004
FILUSDT,365,2025-09-01,2026-08-31,100.089704,68.711496,0.6819999814033508,6.045077323913574
AAVEUSDT,365,2025-09-01,2026-08-31,94.607384,64.48328,124.05000305175781,5.908941268920898
CRCLUSDT,204,2026-02-09,2026-08-31,89.21248,15.95596375,95.08000183105469,6.840972423553467
LTCUSDT,365,2025-09-01,2026-08-31,86.660776,55.242104,48.529998779296875,3.8297879695892334
DOTUSDT,365,2025-09-01,2026-08-31,82.41172,53.147548,0.839900016784668,5.350767612457275
UNIUSDT,365,2025-09-01,2026-08-31,80.975336,53.260932,5.228000164031982,6.034195899963379
MUUUSDT,47,2026-07-16,2026-08-31,76.986392,10.090368,30.639999389648438,11.528735160827637
TRUMPUSDT,365,2025-09-01,2026-08-31,70.33896,43.53088,2.4230000972747803,5.127705097198486
FARTCOINUSDT,365,2025-09-01,2026-08-31,66.359408,33.290688,0.17599999904632568,9.994051933288574
SAMSUNGUSDT,91,2026-06-02,2026-08-31,66.225952,14.9014475,188.5500030517578,7.316932201385498
PENGUUSDT,365,2025-09-01,2026-08-31,62.953052,37.813888,0.008724999614059925,7.741530418395996
XPLUSDT,365,2025-09-01,2026-08-31,58.975436,33.734812,0.0838100016117096,9.980424880981445
WIFUSDT,365,2025-09-01,2026-08-31,57.271048,26.13984,0.19709999859333038,6.9468817710876465
WLFIUSDT,365,2025-09-01,2026-08-31,56.027612,25.918974,0.05747000128030777,6.247836112976074
BTWUSDT,89,2026-06-04,2026-08-31,55.878872,15.347354,0.40661999583244324,25.55619239807129
TRXUSDT,365,2025-09-01,2026-08-31,54.213824,41.346544,0.33223000168800354,1.7092952728271484
XLMUSDT,365,2025-09-01,2026-08-31,52.876152,36.71264,0.1772100031375885,4.902758598327637
RIVERUSDT,319,2025-10-17,2026-08-31,51.214492,13.268119,1.4220000505447388,15.274169921875
1000SHIBUSDT,365,2025-09-01,2026-08-31,49.944416,33.191618,0.005065999925136566,4.597503662109375
TSLAUSDT,216,2026-01-28,2026-08-31,49.290392,12.519339,367.5799865722656,3.0646212100982666
ARBUSDT,365,2025-09-01,2026-08-31,49.2234,31.13706,0.10937999933958054,6.107395172119141
ONDOUSDT,365,2025-09-01,2026-08-31,48.86174,30.165748,0.3458999991416931,6.428676128387451
BEATUSDT,293,2025-11-12,2026-08-31,48.75244,24.399408,0.12439999729394913,20.000001907348633
MSTRUSDT,204,2026-02-09,2026-08-31,45.36994,17.241491,131.66000366210938,5.954436779022217
QQQUSDT,148,2026-04-06,2026-08-31,44.837496,13.550297,717.260009765625,1.4368008375167847
APTUSDT,365,2025-09-01,2026-08-31,44.031644,27.275972,0.5357999801635742,6.037379264831543
CRVUSDT,365,2025-09-01,2026-08-31,42.569832,21.51742,0.3375000059604645,6.513868808746338
NVDAUSDT,159,2026-03-26,2026-08-31,42.409488,10.7533935,220.47000122070312,2.916795015335083
1000BONKUSDT,365,2025-09-01,2026-08-31,40.617364,22.86946,0.0029929999727755785,6.934742450714111
FETUSDT,365,2025-09-01,2026-08-31,40.242948,25.493492,0.1535000056028366,6.989421844482422
HBARUSDT,365,2025-09-01,2026-08-31,39.54956,23.50392,0.07357999682426453,4.620053768157959
VIRTUALUSDT,365,2025-09-01,2026-08-31,37.337084,23.540566,0.6960999965667725,7.917952537536621
NBISUSDT,98,2026-05-26,2026-08-31,37.124368,6.34674575,206.7899932861328,8.650535583496094
OPUSDT,365,2025-09-01,2026-08-31,36.535128,22.645072,0.09352000057697296,6.279581069946289
REUSDT,75,2026-06-18,2026-08-31,35.43048,18.582729,0.4893999993801117,12.102405548095703
INJUSDT,365,2025-09-01,2026-08-31,35.21098,22.487318,4.928999900817871,6.775651931762695
CBRSUSDT,105,2026-05-19,2026-08-31,34.902376,6.848094,184.3300018310547,9.065971374511719
DASHUSDT,365,2025-09-01,2026-08-31,34.890112,18.09133,44.86000061035156,7.5337419509887695
AMDUSDT,118,2026-05-06,2026-08-31,34.136808,6.856145375,470.17999267578125,5.796729564666748
XMRUSDT,365,2025-09-01,2026-08-31,32.828296,25.121416,522.1300048828125,5.113162040710449
TIAUSDT,365,2025-09-01,2026-08-31,32.59667,18.967524,0.33660000562667847,7.059604644775391
GRVTUSDT,32,2026-07-31,2026-08-31,32.02792,14.94329225,0.16359999775886536,12.51425552368164
TONUSDT,365,2025-09-01,2026-08-31,31.983936,17.484704,1.5901000499725342,4.277062892913818
LITEUSDT,109,2026-05-15,2026-08-31,31.801594,5.458485,915.0399780273438,7.686458587646484
EWYUSDT,169,2026-03-16,2026-08-31,31.537978,12.774908,180.8699951171875,4.5488200187683105
