symbol,n_days,first,last,qv_median_musd,qv_p25_musd,px_last,range_median_pct,weekend_ratio
BTCUSDT,365,2025-09-01,2026-08-31,12034.417664,8138.975744,78549.6015625,3.013343334197998,0.442676842212677
ETHUSDT,365,2025-09-01,2026-08-31,10149.863424,7038.966272,2466.530029296875,4.175538063049316,0.4702199101448059
SOLUSDT,365,2025-09-01,2026-08-31,2216.76928,1468.682752,103.0,4.759139060974121,0.6165331602096558
XRPUSDT,365,2025-09-01,2026-08-31,816.800832,532.30016,1.3791999816894531,4.133044242858887,0.6084614992141724
ZECUSDT,365,2025-09-01,2026-08-31,630.048512,363.368416,847.7100219726562,8.999140739440918,0.7821152210235596
DOGEUSDT,365,2025-09-01,2026-08-31,556.565056,357.515776,0.0828099995851516,4.981211185455322,0.6349363923072815
HYPEUSDT,365,2025-09-01,2026-08-31,416.116992,291.360672,84.16899871826172,6.841307640075684,0.6821309328079224
BNBUSDT,365,2025-09-01,2026-08-31,391.993152,265.410224,691.6699829101562,3.2254035472869877,0.7387701272964478
1000PEPEUSDT,365,2025-09-01,2026-08-31,288.781152,189.161696,0.0035558000672608,6.1151299476623535,0.651698648929596
SUIUSDT,365,2025-09-01,2026-08-31,234.720176,140.235136,0.7265999913215637,5.855678558349609,0.7840823531150818
ADAUSDT,365,2025-09-01,2026-08-31,209.809584,153.147936,0.1977999955415725,5.431504726409912,0.7515726089477539
AVAXUSDT,365,2025-09-01,2026-08-31,143.088416,94.127904,7.229000091552734,5.236209392547607,0.677693247795105
LINKUSDT,365,2025-09-01,2026-08-31,140.95288,100.24412,11.315999984741213,4.875726222991943,0.7510732412338257
ENAUSDT,365,2025-09-01,2026-08-31,131.541344,83.14552,0.1494700014591217,7.69810676574707,0.6637370586395264
TAOUSDT,365,2025-09-01,2026-08-31,117.756064,76.842016,230.27999877929688,6.807602405548096,0.812110424041748
BCHUSDT,365,2025-09-01,2026-08-31,116.05972,70.214376,246.9900054931641,4.506860733032227,0.7815981507301331
NEARUSDT,365,2025-09-01,2026-08-31,113.0012,77.905968,1.919999957084656,6.332706451416016,0.6374835968017578
PUMPUSDT,365,2025-09-01,2026-08-31,108.48368,60.390428,0.0044510001316666,9.885931015014648,0.6706989407539368
WLDUSDT,365,2025-09-01,2026-08-31,107.030552,68.371632,0.3646000027656555,7.77053165435791,0.8256916999816895
ASTERUSDT,347,2025-09-19,2026-08-31,100.786944,40.238124,0.7006999850273132,5.727463722229004,0.9196996092796326
FILUSDT,365,2025-09-01,2026-08-31,100.089704,68.711496,0.6819999814033508,6.045077323913574,0.7524162530899048
AAVEUSDT,365,2025-09-01,2026-08-31,94.607384,64.48328,124.0500030517578,5.908941268920898,0.7306848168373108
LTCUSDT,365,2025-09-01,2026-08-31,86.660776,55.242104,48.52999877929688,3.8297879695892334,0.7835984826087952
DOTUSDT,365,2025-09-01,2026-08-31,82.41172,53.147548,0.839900016784668,5.350767612457275,0.7122281789779663
UNIUSDT,365,2025-09-01,2026-08-31,80.975336,53.260932,5.228000164031982,6.034195899963379,0.6483668088912964
TRUMPUSDT,365,2025-09-01,2026-08-31,70.33896,43.53088,2.4230000972747803,5.127705097198486,0.7955105304718018
FARTCOINUSDT,365,2025-09-01,2026-08-31,66.359408,33.290688,0.1759999990463256,9.994051933288574,0.6798260807991028
PENGUUSDT,365,2025-09-01,2026-08-31,62.953052,37.813888,0.0087249996140599,7.741530418395996,0.7742528319358826
XPLUSDT,365,2025-09-01,2026-08-31,58.975436,33.734812,0.0838100016117096,9.980424880981444,0.703321099281311
WIFUSDT,365,2025-09-01,2026-08-31,57.271048,26.13984,0.1970999985933303,6.946881771087647,0.6485360860824585
WLFIUSDT,365,2025-09-01,2026-08-31,56.027612,25.918974,0.0574700012803077,6.247836112976074,0.7440013289451599
TRXUSDT,365,2025-09-01,2026-08-31,54.213824,41.346544,0.3322300016880035,1.7092952728271484,0.8301662802696228
XLMUSDT,365,2025-09-01,2026-08-31,52.876152,36.71264,0.1772100031375885,4.902758598327637,0.6656131148338318
RIVERUSDT,319,2025-10-17,2026-08-31,51.214492,13.268119,1.4220000505447388,15.274169921875,0.9298849701881409
1000SHIBUSDT,365,2025-09-01,2026-08-31,49.944416,33.191618,0.0050659999251365,4.597503662109375,0.6828886866569519
ARBUSDT,365,2025-09-01,2026-08-31,49.2234,31.13706,0.1093799993395805,6.107395172119141,0.6725103259086609
ONDOUSDT,365,2025-09-01,2026-08-31,48.86174,30.165748,0.3458999991416931,6.428676128387451,0.6932611465454102
BEATUSDT,293,2025-11-12,2026-08-31,48.75244,24.399408,0.1243999972939491,20.000001907348636,0.9972711205482483
APTUSDT,365,2025-09-01,2026-08-31,44.031644,27.275972,0.5357999801635742,6.037379264831543,0.7467797994613647
CRVUSDT,365,2025-09-01,2026-08-31,42.569832,21.51742,0.3375000059604645,6.513868808746338,0.7021595239639282
1000BONKUSDT,365,2025-09-01,2026-08-31,40.617364,22.86946,0.0029929999727755,6.934742450714111,0.7472195029258728
FETUSDT,365,2025-09-01,2026-08-31,40.242948,25.493492,0.1535000056028366,6.989421844482422,0.7418951392173767
HBARUSDT,365,2025-09-01,2026-08-31,39.54956,23.50392,0.0735799968242645,4.620053768157959,0.8188769221305847
VIRTUALUSDT,365,2025-09-01,2026-08-31,37.337084,23.540566,0.6960999965667725,7.917952537536621,0.6917715072631836
OPUSDT,365,2025-09-01,2026-08-31,36.535128,22.645072,0.0935200005769729,6.279581069946289,0.7372497320175171
INJUSDT,365,2025-09-01,2026-08-31,35.21098,22.487318,4.928999900817871,6.775651931762695,0.6909705400466919
DASHUSDT,365,2025-09-01,2026-08-31,34.890112,18.09133,44.86000061035156,7.5337419509887695,0.83739173412323
XMRUSDT,365,2025-09-01,2026-08-31,32.828296,25.121416,522.1300048828125,5.113162040710449,0.8156848549842834
TIAUSDT,365,2025-09-01,2026-08-31,32.59667,18.967524,0.3366000056266784,7.059604644775391,0.7174756526947021
TONUSDT,365,2025-09-01,2026-08-31,31.983936,17.484704,1.5901000499725342,4.277062892913818,0.7612617015838623
ETCUSDT,365,2025-09-01,2026-08-31,30.941798,20.430348,7.282999992370605,4.604835510253906,0.7804831266403198
ICPUSDT,365,2025-09-01,2026-08-31,29.82515,18.802054,2.3989999294281006,5.826127529144287,0.771115779876709
GALAUSDT,365,2025-09-01,2026-08-31,26.7254,12.337544,0.0017099999822676,6.157962322235107,0.7056897282600403
SEIUSDT,365,2025-09-01,2026-08-31,25.895328,13.178809,0.0443900004029274,5.526390075683594,0.6851665377616882
HUSDT,365,2025-09-01,2026-08-31,24.75634,12.697215,0.0732899978756904,14.38555145263672,0.8154135942459106
GIGGLEUSDT,327,2025-10-09,2026-08-31,24.437576,10.5013925,38.15999984741211,9.737009048461914,1.1288084983825684
PIPPINUSDT,365,2025-09-01,2026-08-31,23.972898,6.5627705,0.017400000244379,13.029157638549805,1.1155073642730713
BSBUSDT,160,2026-03-25,2026-08-31,23.248132,9.794373,0.1045899987220764,18.689682006835938,0.8358972072601318
RENDERUSDT,365,2025-09-01,2026-08-31,23.042256,15.029312,1.4220000505447388,6.4314446449279785,0.7878025770187378
ATOMUSDT,365,2025-09-01,2026-08-31,22.029826,14.188415,1.468000054359436,4.674368858337402,0.6566143035888672
LDOUSDT,365,2025-09-01,2026-08-31,21.684338,13.228289,0.3569999933242798,6.684852600097656,0.6391742825508118
LABUSDT,319,2025-10-17,2026-08-31,21.34943,4.687132,0.0744099989533424,15.671120643615724,1.1232677698135376
LITUSDT,365,2025-09-01,2026-08-31,20.044986,0.0,3.563999891281128,7.958250522613525,0.6136280298233032
PENDLEUSDT,365,2025-09-01,2026-08-31,18.909582,11.845095,1.756500005722046,7.133694171905518,0.7587276697158813
ORDIUSDT,365,2025-09-01,2026-08-31,18.195586,10.850526,3.8949999809265137,7.470293998718262,0.7598109245300293
EIGENUSDT,365,2025-09-01,2026-08-31,18.0348,9.575432,0.1972000002861023,8.673700332641602,0.6960216760635376
ETHFIUSDT,365,2025-09-01,2026-08-31,17.74478,10.824978,0.5652999877929688,7.564617156982422,0.6807730197906494
POLUSDT,365,2025-09-01,2026-08-31,17.538932,11.359927,0.0905100032687187,4.931094169616699,0.677798867225647
ALGOUSDT,365,2025-09-01,2026-08-31,17.370346,12.095566,0.0855199992656707,5.540661811828613,0.7048426866531372
MONUSDT,326,2025-10-10,2026-08-31,17.10885,7.301035,0.0264199990779161,9.116205215454102,0.6697662472724915
IPUSDT,365,2025-09-01,2026-08-31,17.072204,8.667541,0.3104999959468841,7.451148986816406,0.8302305936813354
CHIPUSDT,138,2026-04-16,2026-08-31,16.606328,7.687993375,0.0388099998235702,10.389084815979004,0.8459832072257996
BASEDUSDT,155,2026-03-30,2026-08-31,16.332219,8.686948,0.0684200003743171,11.91674518585205,0.9623180031776428
ZROUSDT,365,2025-09-01,2026-08-31,15.971048,9.775912,1.0269999504089355,7.321396350860596,0.6887266039848328
SLXUSDT,92,2026-06-01,2026-08-31,15.943544,8.3583165,0.0688600018620491,11.521357536315918,1.2294068336486816
JUPUSDT,365,2025-09-01,2026-08-31,15.71662,10.309518,0.2234999984502792,6.849308490753174,0.6567033529281616
BIOUSDT,365,2025-09-01,2026-08-31,15.488883,7.3616195,0.0265999995172023,8.271526336669922,0.7943996787071228
JTOUSDT,365,2025-09-01,2026-08-31,15.432635,8.381504,0.4411999881267547,7.935698986053467,0.6588008999824524
KITEUSDT,307,2025-10-29,2026-08-31,15.227237,7.551648,0.1178700029850006,9.549792289733888,0.781638503074646
DYDXUSDT,365,2025-09-01,2026-08-31,14.942013,7.8652335,0.1071999967098236,7.770270824432373,0.6774963140487671
VVVUSDT,365,2025-09-01,2026-08-31,14.044989,4.298919,16.736000061035156,9.67578411102295,0.875807523727417
EDGEUSDT,166,2026-03-19,2026-08-31,13.702479,6.196011875,0.3752999901771545,10.283571243286133,0.6949461698532104
ZENUSDT,365,2025-09-01,2026-08-31,13.67946,6.807575,5.638999938964844,7.044264793395996,1.1085213422775269
KAITOUSDT,365,2025-09-01,2026-08-31,13.525171,6.476629,0.3009999990463257,7.615991592407227,0.8983171582221985
CHZUSDT,365,2025-09-01,2026-08-31,13.516956,8.036269,0.0132400002330541,6.097218990325928,0.8665791153907776
ALLOUSDT,294,2025-11-11,2026-08-31,13.3669,4.1302410625,0.2390400022268295,10.276432037353516,0.821328341960907
