symbol,n_days,qv_median_musd,weekend_ratio
1000000MOGUSDT,298,18.003882,0.6097997426986694
1000BONKUSDT,365,139.210688,0.766143798828125
1000CATUSDT,315,19.982264,1.0175139904022217
1000CHEEMSUSDT,280,13.833436,0.8191820979118347
1000FLOKIUSDT,365,74.041616,0.6967225074768066
1000LUNCUSDT,365,13.41399,0.7973068952560425
1000PEPEUSDT,365,995.727936,0.7161871790885925
1000RATSUSDT,365,20.04389,0.9593467116355896
1000SATSUSDT,365,61.544016,0.7366210222244263
1000SHIBUSDT,365,160.348944,0.714368999004364
1000WHYUSDT,280,4.1096575,0.7702018022537231
1000XECUSDT,365,3.99476025,0.7756535410881042
1000XUSDT,292,5.551207,0.7855993509292603
1INCHUSDT,365,12.228476,0.747407853603363
1MBABYDOGEUSDT,350,28.523764,0.6834245324134827
AAVEUSDT,365,237.969504,0.665655255317688
ACEUSDT,365,6.3404065,0.8763734698295593
ACHUSDT,365,13.891105,0.8153597116470337
ACTUSDT,294,44.09992,0.8247579336166382
ACXUSDT,269,3.73380775,0.7767161130905151
ADAUSDT,365,485.966432,0.7087108492851257
AERGOUSDT,356,9.649234,0.763227105140686
AEROUSDT,271,12.371224,0.7573341131210327
AEVOUSDT,365,12.2822,0.7017536759376526
AGLDUSDT,365,10.823732,0.7446269392967224
AGTUSDT,104,13.818844,1.210252046585083
AI16ZUSDT,242,72.963144,0.7389037609100342
AIOTUSDT,124,12.22285,1.136797308921814
AIUSDT,365,12.797796,0.8175627589225769
AIXBTUSDT,255,67.203272,0.6683874726295471
AKTUSDT,287,4.509565,0.685599148273468
ALCHUSDT,237,31.676752,0.8496721386909485
ALGOUSDT,365,45.04178,0.6946280002593994
ALICEUSDT,365,8.591775,0.7707972526550293
ALPACAUSDT,365,5.556044,0.9641075730323792
ALPHAUSDT,365,6.479045,0.9451258182525635
ALPINEUSDT,118,3.9565215,1.0005018711090088
ALTUSDT,365,17.467312,0.728569507598877
ANIMEUSDT,221,25.08017,0.7707331776618958
ANKRUSDT,365,5.308467,0.8327969312667847
APEUSDT,365,43.1719,0.7178389430046082
API3USDT,365,10.897305,0.7974062561988831
APTUSDT,365,133.648096,0.7248275876045227
ARBUSDT,365,114.375232,0.746986448764801
ARCUSDT,227,42.113824,0.6189731359481812
ARKMUSDT,365,37.973972,0.750056266784668
ARKUSDT,365,9.636403,0.9443037509918213
ARPAUSDT,365,5.7264075,0.8867277503013611
ARUSDT,365,27.857962,0.795869767665863
ASRUSDT,118,9.511832,0.9029556512832642
ASTRUSDT,365,5.324302,0.7791264057159424
ATAUSDT,365,4.577231,0.7004749774932861
ATHUSDT,152,7.0512815,0.6484050154685974
ATOMUSDT,365,55.1197,0.7117084264755249
AUCTIONUSDT,365,15.647371,0.8735190033912659
AUSDT,96,12.359673,0.5584390163421631
AVAAIUSDT,227,23.676386,0.7923396825790405
AVAUSDT,262,3.377685,0.8238081932067871
AVAXUSDT,365,268.045616,0.734504222869873
AWEUSDT,103,4.0453595,0.7036843299865723
AXLUSDT,365,9.84365,0.8187805414199829
AXSUSDT,365,19.507452,0.6882131099700928
B2USDT,118,3.556273,0.7225168347358704
B3USDT,200,4.4561975,0.9844653606414795
BABYUSDT,149,18.268398,0.7659359574317932
BAKEUSDT,365,11.175248,0.7699912786483765
BANANAS31USDT,163,18.077494,0.7601450085639954
BANANAUSDT,365,15.972546,0.7273471355438232
BANDUSDT,365,4.24064,0.8668866157531738
BANKUSDT,136,6.200803,1.028827428817749
BANUSDT,287,8.528431,0.6896775364875793
BATUSDT,365,5.8888545,0.7499942183494568
BBUSDT,365,16.520185,0.8883817195892334
BCHUSDT,365,145.617344,0.7226050496101379
BDXNUSDT,90,7.9609285,0.566027045249939
BEAMXUSDT,365,13.847383,0.779643714427948
BELUSDT,365,8.102444,0.9339472651481628
BERAUSDT,207,51.474784,0.7172493934631348
BICOUSDT,365,3.854115,0.7928957343101501
BIDUSDT,165,7.8426315,0.7973588705062866
BIGTIMEUSDT,365,24.058424,0.9783196449279785
BIOUSDT,241,22.81147,0.83766108751297
BLURUSDT,365,13.911816,0.7826111912727356
BMTUSDT,168,17.494804,0.9868980050086975
BNBUSDT,365,452.501056,0.6641408801078796
BNXUSDT,365,5.957424,0.859697699546814
BOMEUSDT,365,61.976728,0.7521523237228394
BRETTUSDT,365,18.62501,0.7217167019844055
BROCCOLI714USDT,164,11.624088,0.7241517901420593
BROCCOLIF3BUSDT,164,8.503819,0.5245028734207153
BRUSDT,164,6.257698,0.6864120960235596
BSVUSDT,365,6.1285515,0.66896653175354
BSWUSDT,361,6.0104695,0.990170955657959
BTCDOMUSDT,365,10.874713,0.7033418416976929
BTCUSDT,365,16706.4832,0.45297929644584656
BUSDT,102,19.58144,1.255031704902649
C98USDT,365,6.8400615,0.680946409702301
CAKEUSDT,365,25.809916,0.8959630131721497
CATIUSDT,346,13.974938,0.8117846846580505
CELOUSDT,365,14.187022,0.7139785885810852
CELRUSDT,365,4.2990145,0.8555103540420532
CETUSUSDT,299,16.038564,0.6955615282058716
CFXUSDT,365,23.836656,0.8283423781394958
CGPTUSDT,255,5.8957425,0.7470099925994873
CHESSUSDT,365,6.0606385,1.0097932815551758
CHILLGUYUSDT,278,34.591008,0.7328473329544067
CHRUSDT,365,6.6434635,0.7854053974151611
CHZUSDT,365,17.400216,0.7493507862091064
CKBUSDT,365,11.544849,0.7261749505996704
COMPUSDT,365,17.185074,0.7625889778137207
COOKIEUSDT,237,25.230246,0.6855300664901733
COTIUSDT,365,10.568647,0.7160621285438538
COWUSDT,299,18.687854,0.7162067890167236
CRVUSDT,365,136.395632,0.7053614258766174
CTSIUSDT,365,4.635193,0.7976208925247192
CYBERUSDT,365,7.075673,0.7731164693832397
DASHUSDT,365,5.354282,0.8113908767700195
DEEPUSDT,132,9.274812,0.6185915470123291
DEGENUSDT,290,8.263151,0.788864016532898
DEGOUSDT,262,4.802699,0.9247350692749023
DENTUSDT,365,3.85739825,0.7901123762130737
DEXEUSDT,251,9.941928,0.7568652033805847
DFUSDT,245,6.43794,0.8996032476425171
DIAUSDT,334,4.280758,0.8328050374984741
