mois,regle,IS_bps,n_ep,OOS_net_bps
2025-03,rb0.03_br0.01_z3_oi0.005_tout fwd_60,97.4,82,-73.6
2025-04,rb0.03_br0.01_z3_oi0.005_tout fwd_60,68.6,94,21.7
2025-05,rb0.03_br1.0_z3_oi0.02_tout fwd_240,69.4,117,33.0
2025-06,rb0.03_br1.0_z3_oi0.02_tout fwd_240,67.1,57,27.6
2025-07,rb0.03_br1.0_z3_oi0.02_tout fwd_240,61.6,120,-113.1
2025-08,rb0.03_br1.0_z3_oi0.005_tout fwd_60,5.7,126,-48.7
2025-09,rb0.03_br1.0_z3_oi0.005_tout fwd_60,7.8,143,-44.7
2025-10,rb0.03_br0.01_z3_oi0.01_tout fwd_60,55.5,74,277.2
2025-11,rb0.03_br0.01_z3_oi0.01_tout fwd_240,209.6,70,-279.8
2025-12,rb0.03_br0.01_z3_oi-9.0_tout fwd_240,121.4,136,80.5
2026-01,rb0.03_br0.01_z3_oi-9.0_us fwd_240,205.5,31,97.9
2026-02,rb0.03_br0.01_z3_oi-9.0_tout fwd_240,169.8,155,-22.8
2026-03,rb0.03_br0.01_z3_oi-9.0_us fwd_240,222.0,63,-7.7
2026-04,rb0.03_br1.0_z3_oi0.01_us fwd_120,211.3,63,268.3
2026-05,rb0.03_br1.0_z3_oi0.01_tout fwd_120,77.8,129,39.8
2026-06,rb0.03_br1.0_z3_oi0.01_tout fwd_120,90.5,160,26.7
2026-07,rb0.05_br1.0_z3_oi0.01_tout fwd_120,141.5,24,543.0
2026-08,rb0.03_br1.0_z3_oi0.01_tout fwd_120,98.8,64,-16.2
