mois,regle,IS_bps,n_ep,OOS_net_bps
2025-06,rb0.03_br0.01_z4_oi-9.0_us fwd_120,84.0,22,-376.7
2025-07,rb0.03_br0.01_z4_oi-9.0_tout fwd_240,42.9,91,-123.2
2025-08,rb0.03_br0.01_z4_oi-9.0_tout fwd_240,22.8,83,112.0
2025-09,rb0.03_br0.01_z4_oi-9.0_us fwd_120,46.8,17,192.2
2025-10,rb0.03_br0.01_z4_oi-9.0_us fwd_240,76.0,33,364.2
2025-11,rb0.03_br0.01_z3_oi-9.0_tout fwd_240,74.7,160,59.7
2025-12,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,198.8,36,116.1
2026-01,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,230.4,26,-183.7
2026-02,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,230.8,51,-26.2
2026-03,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,236.7,52,103.8
2026-04,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,235.3,44,0.4
2026-05,rb0.03_br0.01_z3_oi-9.0_euro fwd_120,168.6,57,-55.7
2026-06,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,237.2,64,177.2
2026-07,rb0.05_br0.01_z3_oi-9.0_euro fwd_120,286.1,11,-668.8
2026-08,rb0.05_br1.0_z3_oi-9.0_euro fwd_120,136.7,51,-156.0
