sym,tier,notional,spread_bps,spread_med,top_usd
SOLUSDT,top,1393591604.487,0.27418584171424026,0.27962255577226913,6273.11075
XRPUSDT,top,508905572.48424,1.7111805819862458,1.7075729906636354,39459.43990375
DOGEUSDT,top,325836148.78467,1.3328014222492734,1.330867066987606,21139.320007500002
MKRUSDT,haut,71255412.68609999,0.7621470781198849,0.6905932028127898,934.8548124999999
SANDUSDT,haut,62567173.31069999,2.404168863447843,2.3940314340104862,9767.626341666666
UNIUSDT,haut,58839988.851,1.7167757211976848,1.7107851123025792,3517.2684166666672
PEOPLEUSDT,median,20618169.415650003,6.633726604968036,6.622175883407871,6731.238533333334
EGLDUSDT,median,20398432.596,2.43549840243181,2.4190668474995327,1462.640125
SXPUSDT,median,19702028.496930003,3.069833431573569,3.067954286047605,2309.958635833333
KSMUSDT,bas,11863458.827999998,3.5579256317331933,3.531070218207725,1456.2294166666668
RLCUSDT,bas,11302884.75216,1.7696233036200626,2.2423153426309548,159.01791833333334
RSRUSDT,bas,10776031.657176,4.327538751047959,4.2309309821009515,1447.6541683333335
DGBUSDT,queue,4326187.1943,12.518737698841582,12.52123748221877,6010.659037083334
BTCDOMUSDT,queue,2701224.4434,1.4182359263802693,1.5845846207651106,320.54192916666665
DEFIUSDT,queue,2228957.1408,3.236748284004539,3.1718834447358937,365.1708333333333
